user_id,product_name,category,price,rating,purchase_date,search_query,purchase_amount
103,Curtains,Home & Living,948.88,3.8,2024-12-24,new curtains,948.88
436,Business Book,Books,28.26,4.0,2024-10-13,cheap cheap,28.26
861,Basketball,Sports,100.84,4.6,2025-04-27,basketball compare,100.84
271,Art Book,Books,46.67,4.6,2025-04-21,art book art book,46.67
107,Jeans,Fashion,45.36,3.9,2024-09-10,online jeans,45.36
72,Vacuum Cleaner,Home & Living,891.28,3.3,2024-09-15,review review,891.28
701,Dumbbells,Sports,105.86,3.6,2024-06-14,online trending,105.86
21,Fiction Novel,Books,11.41,3.9,2025-02-08,books buy,11.41
615,Bicycle,Sports,198.2,3.7,2024-09-15,sports sports,198.2
122,Laptop,Electronics,1700.17,4.7,2024-07-23,buy buy,1700.17
467,Business Book,Books,46.23,3.7,2025-01-28,books books,46.23
215,Bedding Set,Home & Living,950.46,3.0,2025-01-06,home & living home & living,950.46
331,Jacket,Fashion,347.26,4.5,2024-10-18,compare compare,347.26
459,Bedding Set,Home & Living,784.2,4.3,2024-09-04,home & living shop,784.2
88,Boots,Fashion,394.67,3.5,2024-11-18,new fashion,394.67
373,Dumbbells,Sports,287.43,3.9,2025-04-16,shop shop,287.43
100,Gaming Console,Electronics,1037.23,3.6,2025-02-13,buy trending,1037.23
872,Hat,Fashion,424.71,4.9,2024-09-02,buy new,424.71
664,Gym Bag,Sports,42.03,3.1,2025-02-23,sports gym bag,42.03
131,Vacuum Cleaner,Home & Living,210.74,3.5,2024-11-04,vacuum cleaner shop,210.74
662,Travel Guide,Books,51.74,3.8,2024-07-07,premium shop,51.74
309,Air Purifier,Home & Living,638.6,4.2,2024-07-04,trending home & living,638.6
770,TV,Electronics,998.68,4.5,2024-06-06,tv electronics,998.68
344,Vacuum Cleaner,Home & Living,98.31,4.5,2025-04-01,buy buy,98.31
492,Dumbbells,Sports,279.59,4.3,2024-06-24,dumbbells sports,279.59
414,Sunglasses,Fashion,392.04,3.1,2024-12-15,new fashion,392.04
806,Art Book,Books,82.35,3.6,2024-07-15,premium online,82.35
386,Bluetooth Speaker,Electronics,369.07,4.2,2025-01-29,electronics electronics,369.07
192,Bluetooth Speaker,Electronics,1514.73,4.3,2024-08-03,electronics compare,1514.73
956,Boots,Fashion,161.02,3.6,2024-06-14,buy buy,161.02
277,Air Purifier,Home & Living,789.01,3.7,2024-09-09,buy buy,789.01
161,T-shirt,Fashion,446.55,3.8,2025-01-18,t-shirt t-shirt,446.55
460,Fiction Novel,Books,75.12,4.7,2025-01-16,fiction novel fiction novel,75.12
314,Backpack,Fashion,316.69,4.0,2024-09-28,backpack compare,316.69
22,Bluetooth Speaker,Electronics,467.34,3.5,2024-10-27,best best,467.34
253,Technical Manual,Books,14.74,3.6,2024-07-23,best books,14.74
748,Business Book,Books,47.94,3.9,2024-07-07,business book books,47.94
857,Art Book,Books,19.47,3.3,2025-01-31,new buy,19.47
561,Business Book,Books,34.63,3.5,2024-06-09,books business book,34.63
475,Sofa,Home & Living,542.3,4.1,2024-07-16,home & living shop,542.3
59,Jacket,Fashion,478.41,4.1,2024-06-01,jacket cheap,478.41
511,Travel Guide,Books,51.92,4.7,2025-04-28,travel guide best,51.92
682,Dumbbells,Sports,180.91,3.5,2024-12-30,online sports,180.91
476,Science Book,Books,40.45,4.1,2024-08-03,science book premium,40.45
700,Running Shoes,Sports,290.84,4.8,2024-10-02,running shoes compare,290.84
976,Curtains,Home & Living,663.32,4.5,2024-10-27,premium curtains,663.32
783,Backpack,Fashion,62.31,4.8,2025-01-19,best backpack,62.31
190,TV,Electronics,941.61,3.2,2024-08-28,electronics tv,941.61
958,Laptop,Electronics,1759.39,4.3,2025-03-23,buy buy,1759.39
687,Swimming Goggles,Sports,228.21,3.4,2025-05-16,review new,228.21
958,Power Bank,Electronics,690.91,5.0,2025-01-26,new electronics,690.91
563,Sneakers,Fashion,47.95,4.5,2024-06-19,fashion compare,47.95
876,TV,Electronics,443.66,4.4,2025-02-22,shop tv,443.66
567,Science Book,Books,79.72,3.7,2024-11-06,science book premium,79.72
244,TV,Electronics,339.66,4.2,2025-04-11,premium electronics,339.66
832,Dumbbells,Sports,299.85,4.2,2024-12-04,sports buy,299.85
505,Jeans,Fashion,498.49,3.7,2024-08-17,jeans best,498.49
131,Cookware Set,Home & Living,700.94,4.0,2025-04-21,review review,700.94
485,TV,Electronics,1024.83,2.7,2025-03-01,compare cheap,1024.83
819,Coffee Maker,Home & Living,778.03,5.0,2024-10-30,home & living home & living,778.03
647,Curtains,Home & Living,728.26,4.3,2024-07-16,curtains curtains,728.26
21,Science Book,Books,75.48,3.8,2024-11-20,science book premium,75.48
841,Cookware Set,Home & Living,156.77,4.4,2024-12-21,review cheap,156.77
167,Smartphone,Electronics,1247.21,3.1,2024-06-19,smartphone online,1247.21
274,Running Shoes,Sports,269.02,4.5,2024-05-24,running shoes running shoes,269.02
388,Gaming Console,Electronics,1001.46,3.9,2025-04-11,online premium,1001.46
601,Biography,Books,60.37,3.1,2025-02-12,books biography,60.37
316,Laptop,Electronics,1618.26,4.0,2025-01-30,trending electronics,1618.26
14,Laptop,Electronics,528.76,4.5,2024-11-13,electronics laptop,528.76
242,Running Shoes,Sports,299.59,4.4,2024-09-03,new new,299.59
777,Running Shoes,Sports,173.07,4.0,2025-03-26,sports premium,173.07
346,Gaming Console,Electronics,1749.14,4.0,2025-03-29,premium premium,1749.14
565,Dress,Fashion,319.24,3.4,2024-10-22,dress dress,319.24
898,Business Book,Books,98.13,4.0,2025-05-20,best books,98.13
340,Hat,Fashion,232.19,4.2,2024-11-30,hat hat,232.19
92,Fiction Novel,Books,10.76,4.7,2025-05-14,books cheap,10.76
367,Coffee Maker,Home & Living,100.29,3.4,2024-07-16,coffee maker home & living,100.29
956,Yoga Mat,Sports,107.2,3.7,2025-03-01,best sports,107.2
455,Basketball,Sports,116.52,4.2,2024-10-19,basketball sports,116.52
428,Gym Bag,Sports,134.77,3.0,2024-11-26,sports online,134.77
509,Fiction Novel,Books,17.01,3.8,2024-08-11,compare compare,17.01
776,Curtains,Home & Living,679.01,4.8,2024-06-06,home & living home & living,679.01
943,Smartphone,Electronics,645.27,3.3,2024-11-24,smartphone buy,645.27
35,Air Purifier,Home & Living,861.68,4.3,2025-01-10,review review,861.68
206,Yoga Mat,Sports,142.21,4.0,2024-11-13,trending online,142.21
81,Curtains,Home & Living,547.12,4.1,2025-02-18,cheap shop,547.12
932,Art Book,Books,80.37,4.2,2024-06-25,art book art book,80.37
562,Fitness Tracker,Sports,206.76,3.7,2024-08-24,online fitness tracker,206.76
872,Sports Water Bottle,Sports,72.25,3.9,2024-12-23,sports sports water bottle,72.25
388,Biography,Books,35.73,4.0,2024-11-06,books books,35.73
2,Bedding Set,Home & Living,181.48,4.4,2025-03-10,home & living bedding set,181.48
390,Jacket,Fashion,182.24,4.3,2024-09-11,fashion online,182.24
566,Backpack,Fashion,128.83,4.1,2024-06-20,buy premium,128.83
106,Bedding Set,Home & Living,738.17,3.6,2025-04-24,home & living best,738.17
772,Jeans,Fashion,173.9,3.6,2024-12-26,fashion cheap,173.9
822,Sunglasses,Fashion,173.87,3.4,2025-05-17,cheap sunglasses,173.87
477,Jacket,Fashion,232.09,3.6,2024-07-07,compare jacket,232.09
703,Bicycle,Sports,35.76,4.2,2025-03-01,sports bicycle,35.76
402,Bluetooth Speaker,Electronics,1634.63,4.7,2024-07-01,buy buy,1634.63
730,Bicycle,Sports,164.1,4.1,2025-01-29,shop sports,164.1
556,Smartphone,Electronics,1529.46,3.6,2025-03-18,smartphone smartphone,1529.46
162,TV,Electronics,861.68,4.0,2025-05-09,tv cheap,861.68
202,Bedding Set,Home & Living,809.0,3.7,2024-09-10,cheap home & living,809.0
958,Hat,Fashion,337.69,4.4,2024-12-08,fashion fashion,337.69
996,Bluetooth Speaker,Electronics,1516.26,3.4,2024-12-23,bluetooth speaker electronics,1516.26
270,T-shirt,Fashion,403.27,4.4,2024-10-09,new compare,403.27
863,Art Book,Books,40.53,4.3,2024-12-29,online books,40.53
816,Hat,Fashion,431.37,3.6,2024-11-08,buy fashion,431.37
271,Yoga Mat,Sports,267.75,3.6,2025-01-01,yoga mat yoga mat,267.75
456,Backpack,Fashion,181.93,3.8,2024-09-17,backpack fashion,181.93
462,Cookbook,Books,10.99,4.3,2024-09-08,cookbook review,10.99
727,Swimming Goggles,Sports,65.7,3.5,2024-07-18,buy sports,65.7
252,TV,Electronics,315.16,3.3,2025-02-21,tv new,315.16
702,Sports Water Bottle,Sports,298.45,3.9,2024-09-12,online trending,298.45
296,Curtains,Home & Living,738.68,4.4,2024-11-28,cheap cheap,738.68
725,Travel Guide,Books,25.8,3.1,2024-05-22,online travel guide,25.8
